date,origin,destination,origin_name,destination_name,airline_code,airline_name,airline_type,season,price_twd
2023-06-30,TPE,NRT,台北桃園,東京成田,CI,中華航空,traditional,summer,7809
2023-06-30,TPE,NRT,台北桃園,東京成田,BR,長榮航空,traditional,summer,8452
2023-06-30,TPE,NRT,台北桃園,東京成田,IT,台灣虎航,lcc,summer,7371
2023-06-30,TPE,NRT,台北桃園,東京成田,TR,酷航,lcc,summer,6798
2023-06-30,TPE,NRT,台北桃園,東京成田,JQ,捷星亞洲,lcc,summer,6889
2023-06-30,TPE,HND,台北桃園,東京羽田,CI,中華航空,traditional,summer,8501
2023-06-30,TPE,HND,台北桃園,東京羽田,BR,長榮航空,traditional,summer,10051
2023-06-30,TPE,HND,台北桃園,東京羽田,IT,台灣虎航,lcc,summer,6592
2023-06-30,TPE,HND,台北桃園,東京羽田,TR,酷航,lcc,summer,6331
2023-06-30,TPE,HND,台北桃園,東京羽田,JQ,捷星亞洲,lcc,summer,6944
2023-06-30,TPE,KIX,台北桃園,大阪關西,CI,中華航空,traditional,summer,8046
2023-06-30,TPE,KIX,台北桃園,大阪關西,BR,長榮航空,traditional,summer,8723
2023-06-30,TPE,KIX,台北桃園,大阪關西,IT,台灣虎航,lcc,summer,6409
2023-06-30,TPE,KIX,台北桃園,大阪關西,TR,酷航,lcc,summer,5032
2023-06-30,TPE,KIX,台北桃園,大阪關西,JQ,捷星亞洲,lcc,summer,5772
2023-06-30,KHH,NRT,高雄小港,東京成田,CI,中華航空,traditional,summer,10528
2023-06-30,KHH,NRT,高雄小港,東京成田,BR,長榮航空,traditional,summer,9731
2023-06-30,KHH,NRT,高雄小港,東京成田,IT,台灣虎航,lcc,summer,6814
2023-06-30,KHH,NRT,高雄小港,東京成田,TR,酷航,lcc,summer,6041
2023-06-30,KHH,NRT,高雄小港,東京成田,JQ,捷星亞洲,lcc,summer,7044
2023-06-30,KHH,KIX,高雄小港,大阪關西,CI,中華航空,traditional,summer,8289
2023-06-30,KHH,KIX,高雄小港,大阪關西,BR,長榮航空,traditional,summer,9071
2023-06-30,KHH,KIX,高雄小港,大阪關西,IT,台灣虎航,lcc,summer,6454
2023-06-30,KHH,KIX,高雄小港,大阪關西,TR,酷航,lcc,summer,6697
2023-06-30,KHH,KIX,高雄小港,大阪關西,JQ,捷星亞洲,lcc,summer,5886
2023-07-01,TPE,NRT,台北桃園,東京成田,CI,中華航空,traditional,summer,8351
2023-07-01,TPE,NRT,台北桃園,東京成田,BR,長榮航空,traditional,summer,10755
2023-07-01,TPE,NRT,台北桃園,東京成田,IT,台灣虎航,lcc,summer,6939
2023-07-01,TPE,NRT,台北桃園,東京成田,TR,酷航,lcc,summer,8011
2023-07-01,TPE,NRT,台北桃園,東京成田,JQ,捷星亞洲,lcc,summer,6318
2023-07-01,TPE,HND,台北桃園,東京羽田,CI,中華航空,traditional,summer,11074
2023-07-01,TPE,HND,台北桃園,東京羽田,BR,長榮航空,traditional,summer,10981
2023-07-01,TPE,HND,台北桃園,東京羽田,IT,台灣虎航,lcc,summer,6334
2023-07-01,TPE,HND,台北桃園,東京羽田,TR,酷航,lcc,summer,7257
2023-07-01,TPE,HND,台北桃園,東京羽田,JQ,捷星亞洲,lcc,summer,6498
2023-07-01,TPE,KIX,台北桃園,大阪關西,CI,中華航空,traditional,summer,9595
2023-07-01,TPE,KIX,台北桃園,大阪關西,BR,長榮航空,traditional,summer,9274
2023-07-01,TPE,KIX,台北桃園,大阪關西,IT,台灣虎航,lcc,summer,7497
2023-07-01,TPE,KIX,台北桃園,大阪關西,TR,酷航,lcc,summer,5657
2023-07-01,TPE,KIX,台北桃園,大阪關西,JQ,捷星亞洲,lcc,summer,6359
2023-07-01,KHH,NRT,高雄小港,東京成田,CI,中華航空,traditional,summer,11451
2023-07-01,KHH,NRT,高雄小港,東京成田,BR,長榮航空,traditional,summer,9086
2023-07-01,KHH,NRT,高雄小港,東京成田,IT,台灣虎航,lcc,summer,6892
2023-07-01,KHH,NRT,高雄小港,東京成田,TR,酷航,lcc,summer,8238
2023-07-01,KHH,NRT,高雄小港,東京成田,JQ,捷星亞洲,lcc,summer,7096
